Site_Name,Latitude,Longitude,C14_date,Std_dev,Lab_Code,Material_Dated,Reference,cal_curve,Orginal_Compiler,Notes
SITIO ARQUEOLÓGICO ÑAUPALLAQTA,-13.99324158,-73.68167752,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PAMPALLA,-13.88449139,-73.74872458,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PATARANRA,-14.07777296,-73.64573406,NA,NA,NA,NA,SIGDA,,Sales,
ELEMENTO ARQUEOLÓGICO AISLADO PIEDRA TALLADA DE WAQAKUNAPATA,-13.87708071,-73.72466913,NA,NA,NA,NA,SIGDA,,Sales,
ELEMENTO ARQUEOLÓGICO AISLADO PIEDRAS DE POTONGO,-13.93974108,-73.75506384,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PLAZA PAMPA,-13.89806637,-73.69287827,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PUKAMOQO,-13.94210707,-73.75456985,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QATUNCHAUPI,-13.83570566,-73.76918201,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QORIKUNKA QASA,-13.91644139,-73.749136,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO RANCHANJA,-13.85021402,-73.75997379,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO RANRAPUKRO,-13.90582898,-73.72828757,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SONAJE 1,-13.86691904,-73.74553405,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SONAJE 2,-13.95784048,-73.73773135,NA,NA,NA,NA,SIGDA,,Sales,
ELEMENTO ARQUEOLÓGICO AISLADO TAMBO DE QAQAPAQCHA,-13.85488018,-73.75313007,NA,NA,NA,NA,SIGDA,,Sales,
ELEMENTO ARQUEOLÓGICO AISLADO TAMBO DE TOQTOQASA,-13.88266248,-73.74817919,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO TOQTOQASA,-13.88026675,-73.7463969,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO TUMBAS DE QOCHANA,-13.99573115,-73.64622508,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO UCHUYCHAUPI,-13.84063506,-73.76069995,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO WAMANILLA,-13.96491327,-73.65086681,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO CANAL DE PULLAQOWAYQO,-14.01016952,-73.67933122,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CERRO ANAURAY O ANAYORQO,-13.99598162,-73.64737155,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CERRO LEQLESPATA 1,-14.00766767,-73.66652299,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CERRO LEQLESPATA 2,-14.00663538,-73.65965019,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CERRO MASOBAMBA,-13.89510933,-73.76029977,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CERRO PAMPALLA,-13.89128699,-73.7517511,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CERRO QOLLANI,-14.03450771,-73.63266464,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CERRO QORIKUNKA,-13.91908991,-73.75085241,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CERRO QORIWAYRACHINA,-13.97719742,-73.65559034,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CERRO RETOZANA KUNKA,-13.97168389,-73.66885938,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CERRO SICUANI,-14.06593434,-73.65118407,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CERRO SONAJE,-13.86607868,-73.74384532,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CERRO UYULI,-14.04541443,-73.64315583,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHAKIQOCHAORQO,-14.05114825,-73.65008544,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHAUPI,-13.8380713,-73.7614259,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO ANDENES DE CHILCAYOC,-13.88689306,-73.72714169,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CORRALES DE PELATANQA,-14.00565019,-73.68276403,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO ANDENES DE QOCHQAQASA,-14.02357185,-73.65077462,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO ANDENES DE QUELOLOWAYQO,-13.9852699,-73.65884828,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO ANDENES DE SIHUI,-13.97288916,-73.64811743,NA,NA,NA,NA,SIGDA,,Sales,
ELEMENTO ARQUEOLÓGICO AISLADO EL USHNO,-13.87281856,-73.74305031,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO HUAYRANA PATA,-13.79958952,-73.76372903,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO INKARAQAY,-13.7030416,-73.71108791,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PAQWAYRANRA,-13.64739532,-73.73671011,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO TRANCA RUYRUYLLA,-13.30489692,-73.75266765,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO WITSI O QORIMARCA,-13.95083279,-73.75143149,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHICMO,-13.67056257,-73.67214043,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ANORI,-12.73914331,-73.71658299,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SULLKAWILIKA,-13.81083444,-73.70389294,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ERAPATA,-13.82874124,-73.82564303,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PUYANANPUNTA,-13.36658877,-73.93881509,NA,NA,NA,NA,SIGDA,,Sales,
ZONA ARQUEOLÓGICA MONUMENTAL USHNU DE PUMAQAWANQA,-13.35226975,-73.94797254,NA,NA,NA,NA,SIGDA,,Sales,
ZONA ARQUEOLÓGICA MONUMENTAL USHNU DE TORRECHAYUQ,-13.34694589,-73.94178167,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO APACHETA PUMAQAWANQA 1,-13.35237582,-73.94739037,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO APACHETA PUMAQAWANQA 2,-13.35325483,-73.94787594,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO BAÑICO,-13.0244204,-73.8325076,NA,NA,NA,NA,SIGDA,,Sales,
ZONA ARQUEOLÓGICA MONUMENTAL USHNU DE INCAPERQAN,-13.00138049,-73.83375869,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO YANAORQO,-13.04262642,-73.79835853,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO APACHETA SAYWAPASA,-13.02869949,-73.8656922,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO CHUCHAUCRUZ,-13.70657002,-73.80524421,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO APACHETA CACHISAMACHINA,-13.68663515,-73.84706249,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO APACHETA LLULLUCHAYOQ,-13.69986873,-73.82934649,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO APACHETA SAYWAPATA,-13.68540426,-73.86832496,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO KULLUMA,-14.28384208,-73.93830446,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO AYAMOQO,-14.27989212,-73.94049215,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QARWAYMARCA,-14.30831417,-73.92816753,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO QOCCQA PUKARAQAY PAQLLAWI SARAMARCA,-14.01995569,-73.85240814,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QORIWAYRACHINA,-14.17865184,-73.91906872,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO CRUZ PATA,-14.00511912,-73.84641746,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO APONGO,-14.02026351,-73.93360163,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ASQUIPATA,-14.05835257,-73.91155111,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO MUYU MUYU,-14.03226093,-73.92351771,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO AYWAQUPAMPA,-14.03921716,-73.91430843,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PABLUYUQ,-13.93957644,-73.92753081,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PAQWANTO 1,-13.84741492,-73.93559739,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PAQWANTO 2,-13.84553509,-73.93574473,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PARISAPAMPA,-13.93690084,-73.91538068,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PATACANCHA,-13.91639289,-73.91046002,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PIKCHU,-14.03028664,-73.94325038,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO POSOQOYNIYUQ QICHQA,-13.86260895,-73.91628169,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PUKIOPAMPA 1,-14.02460662,-73.94267452,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PUKIOPAMPA 2,-14.02491678,-73.94331201,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PUKIOPAMPA 3,-14.02506232,-73.94351506,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PUKIOPAMPA 4,-14.02516947,-73.943209,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QATUN ORQO PATA 1,-13.97574655,-73.94163887,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QATUN ORQO PATA 2,-13.97494893,-73.94117037,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QATUN ORQO PATA 3,-13.97627747,-73.938998,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QATUN ORQO PATA 4,-13.97651188,-73.9388488,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QATUN ORQO PATA 5,-13.97678103,-73.93837543,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QATUN ORQO PATA 6,-13.97762925,-73.93801049,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QATUN ORQO PATA 7,-13.97849628,-73.9378121,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QATUN ORQO PATA 8,-13.97898451,-73.93781912,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QATUN ORQO PATA 9,-13.97912915,-73.93781845,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QOCHAWACHUPAMPA,-14.05489056,-73.90565911,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QULQIKUCHO,-13.82656735,-73.92324864,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO RAQARAQAY 1,-13.91458908,-73.91548476,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO RAQARAQAY 1,-13.91650917,-73.92034407,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO RUYAQ QAQAPATA,-13.83923331,-73.92942637,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SINQARAYPATA,-13.97965731,-73.93868627,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO TIKIMARKA,-13.87992709,-73.92773154,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO TIQUIHUA,-13.88247021,-73.93454926,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO TRANKA MACHAY 1,-13.94323505,-73.92688448,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO TRANKA MACHAY 2,-13.94544064,-73.92476382,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO TRANKA MACHAY 3,-13.94542162,-73.92455101,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO TRANKA MACHAY 4,-13.94527632,-73.92440358,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO TRANKA MACHAY 5,-13.94509522,-73.92433963,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO TUQTAPAMPA,-13.85648984,-73.91049003,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO UCHKULLULLUQ,-14.0362469,-73.9335185,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO UCHUY WAMPAQASA,-13.97425367,-73.92694463,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO UCHUYMARPA,-13.84197014,-73.91447139,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO USCARAN 1,-14.05435471,-73.91917309,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO USCARAN 2,-14.05357567,-73.91882484,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO USCARAN 3,-14.05355829,-73.91898235,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO USCARAN 4,-14.05296217,-73.91910554,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO UYU RUMI,-13.856389,-73.93275291,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO WAMPAQASA 1,-13.97292336,-73.93692115,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO WAMPAQASA 2,-13.97272503,-73.93705167,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO WANKAÑAYRY 2,-14.03595086,-73.9402149,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO WAYLLANI,-14.03049469,-73.91669222,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO WAYLLAPATA MACHAY,-13.86222671,-73.94048038,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHOQLLOMARCA,-14.05038449,-73.92087715,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHOQLLOMARCA 2,-14.04888359,-73.92083788,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHOQLLOMARCA QUCHA,-14.03675224,-73.90697682,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHUMBILLA URQU,-13.98159813,-73.93595555,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO GENTILCHAYUQ,-13.87852675,-73.94667123,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO HUANCANA,-14.06187641,-73.9111177,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PUMAPUNKU,-13.89979013,-73.8600452,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO LLOQEPATA,-13.82068379,-73.78065822,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PIKILLAQTA,-13.81334127,-73.78759749,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO MAUKACHAKA,-13.42673178,-73.83290957,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO EL MIRADOR,-5.661062411,-78.41989972,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO EL ALUMBRE,-6.897721722,-78.42623476,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO VAQUERIA,-6.302009221,-78.42981655,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO HACIENDA NAMOYOC,-6.508562914,-78.47788338,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO TUMBAS DE LA RAMADA,-6.607133967,-78.43167489,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CERRO CHINA LINDA,-6.711219746,-78.45157165,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CERRO SHATER,-6.726890947,-78.46209383,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CERRO SUQUE,-6.660541829,-78.47332837,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO FILA DE ATOSHAICO,-6.700625803,-78.44072528,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CERRO CUACO UT 05,-6.106410566,-78.45361651,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO LA HUACA DE SHINGOLOMA,-6.505814124,-78.47760795,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CUEVAS DE PEÑA BLANCA PEÑA BLANCA O LA CHICHERA,-6.344229702,-78.42221006,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ESTRUCTURAS DE CAMPANAORCO,-6.326557245,-78.43220646,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO NEGRITOS,-6.857079316,-78.54120328,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO YANACANCHA GRANDE,-6.862612888,-78.5258561,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO YANACANCHILLA,-6.843023638,-78.54262266,NA,NA,NA,NA,SIGDA,,Sales,
ELEMENTO ARQUEOLÓGICO AISLADO NARANJOS,-5.423028321,-78.54632347,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO VENTANILLAS DE APAN,-6.716648026,-78.54470955,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO VENTANILLAS DE ARASCORGE,-6.732532662,-78.53313922,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO VENTANILLAS DE ARGOMARCA,-6.691400429,-78.52756094,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO VENTANILLAS DE BELLAVISTA,-6.723533219,-78.54436762,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO VENTANILLAS DE MARAYPAMPA,-6.728883832,-78.53004774,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO VENTANILLAS DE MONTEGRANDE,-6.74825419,-78.5376434,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO CAÑA BRAVA,-6.128219786,-78.533208,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CERRO CARDON,-6.688594844,-78.51246081,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CORRAL ORCO,-6.659326183,-78.54770763,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PAMPA GRANDE,-6.436957001,-78.51076446,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO PINTURAS RUPESTRES DE HUALINGA,-6.250495638,-78.5275555,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO JAJAORJO,-13.24470155,-74.41001068,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO JATUMPAMPA,-13.19114394,-74.405636,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO JATUMPAMPA 2,-13.18754454,-74.40536786,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO JATUMPAMPA 3,-13.18732166,-74.42660228,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ATAQUIRAN,-13.19629737,-74.40538361,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO MONTIPAMPA,-13.27727713,-74.34580131,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ÑAUPAS,-13.21648888,-74.43345615,NA,NA,NA,NA,SIGDA,,Sales,
MONUMENTO ARQUEOLÓGICO PREHISPÁNICO PAMPAMARCA,-13.29184175,-74.33456397,NA,NA,NA,NA,SIGDA,,Sales,
MONUMENTO ARQUEOLÓGICO PREHISPÁNICO PATAHUASI,-13.23465566,-74.45472611,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QASANQAY,-13.26367568,-74.38859528,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO S L PICHA,-13.25972445,-74.34848826,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO AGINTAJASA,-13.18172901,-74.40865781,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CUNCAHUAYLLA,-13.28351195,-74.39532172,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ELEMENTO AISLADO,-13.06211778,-74.49334785,NA,NA,NA,NA,SIGDA,,Sales,
MONUMENTO ARQUEOLÓGICO PREHISPÁNICO ANTAPUNA,-13.21192009,-74.36682401,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO HUAYLLAPAMPA,-13.23243351,-74.38408608,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ITUNI,-13.96358445,-74.33671825,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO MARCA MARCA,-13.98111175,-74.32537243,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ÑAWPA LLAQTA 1,-13.81413093,-74.30836001,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ÑAWPA LLAQTA 2,-13.81795622,-74.31831337,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ÑAWPALLAQTA,-13.83050813,-74.38770972,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PAQOLLA,-13.79585795,-74.32462224,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QOCHAMARCA,-13.91686842,-74.31113803,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QUELLQAMACHAY,-13.98158352,-74.3162512,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SAYLLAMOQO,-13.93321338,-74.33315784,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SILVANAYUC,-13.93703074,-74.3371459,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO TUCU TUCU,-13.9277421,-74.32943386,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO WAQRAMARCA,-13.94601956,-74.30528434,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO WISCARANRA,-13.94737894,-74.31920333,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHIPCHIPAWASIN,-13.91479482,-74.3294897,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CUEVA QOCHOMARCA,-13.91701102,-74.31040637,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CUTU CUTU,-13.98611929,-74.3650695,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO TEQLLO,-13.77980155,-74.47331109,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO MARCAS,-12.89064261,-74.39759679,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO TINYACC,-12.91079463,-74.41604878,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CCOCCOMARCA,-12.73424873,-74.37179871,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CCOÑECC,-12.88227872,-74.38603129,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHICCLLAO,-12.83714281,-74.41530693,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHINCHIMA,-12.86494251,-74.47233711,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO QEULLOQAQA,-12.64251708,-74.31114027,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO TORREMOQO,-12.64929978,-74.31149962,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO WAIRAPAMPA,-12.65315613,-74.29927903,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO YANAURQO,-12.6351763,-74.32592911,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PARCOSTAMBO,-12.83418304,-74.53627173,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CCAWARICUNA,-12.73485698,-74.66705627,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ALLPAS,-12.87707875,-74.5834568,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO JELLOQAQA,-12.66098678,-74.66015345,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO LATA CORRAL DE SOL DE ORO,-12.70086821,-74.64835715,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ATOQ WACHANA,-12.63404457,-74.66439719,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO MULLUNA,-12.67506123,-74.64919382,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO OJOROHUAYJO,-12.6789678,-74.64925294,NA,NA,NA,NA,SIGDA,,Sales,
